capacity,charge_1A_I_length,charge_3v6_I_sum,charge_20soc_I_sum,discharge_20soc_I_sum,discharge_80soc_I_sum,discharge_20to80soc_I_sum,charge_1A_V_sum,charge_3v6_V_length,charge_20soc_V_sum,discharge_20soc_V_end,discharge_80soc_V_end,discharge_20to80soc_V_range,charge_1A_T_range,charge_3v6_T_range,charge_20soc_T_range,discharge_20soc_T_range,discharge_80soc_T_range,discharge_20to80soc_T_range
0.567916667,0.5,0.572468588,0.572468588,0.7611,0.8422655,0.681149,0.5,0.795,0.817904714,0.58,0.7273,0.7272,0.5,0.5,0.5,0.5,0.5,0.5
0.57125,0.5,0.579544824,0.579544824,0.760988,0.8417415,0.680836,0.5,0.785,0.807612571,0.606315789,0.7372,0.7346,0.5,0.5,0.5,0.5,0.5,0.5
0.57625,0.5,0.582959294,0.582959294,0.760504,0.8411275,0.680586333,0.5,0.77,0.792142,0.633684211,0.7407,0.7355,0.5,0.5,0.5,0.5,0.5,0.5
0.57875,0.5,0.592482941,0.592482941,0.760614,0.841288,0.680657333,0.5,0.77,0.792138286,0.648421053,0.7436,0.737,0.5,0.5,0.5,0.5,0.5,0.5
0.580416667,0.5,0.594069765,0.594069765,0.760582,0.8411635,0.680584333,0.5,0.77,0.792137429,0.655789474,0.7456,0.7383,0.5,0.5,0.5,0.5,0.5,0.5
0.582083333,0.5,0.595113647,0.595113647,0.760708,0.841374,0.680683333,0.5,0.77,0.792148,0.667368421,0.7477,0.7393,0.5,0.5,0.5,0.5,0.5,0.5
0.58375,0.5,0.595220941,0.595220941,0.760769,0.8414755,0.680731,0.5,0.765,0.787006143,0.677894737,0.7499,0.7405,0.5,0.5,0.5,0.5,0.5,0.5
0.585,0.5,0.596350588,0.596350588,0.760827,0.8414915,0.680722333,0.5,0.765,0.786973,0.686315789,0.7498,0.7396,0.5,0.5,0.5,0.5,0.5,0.5
0.585833333,0.5,0.597341412,0.597341412,0.76082,0.8415375,0.680755333,0.5,0.765,0.786996143,0.686315789,0.7509,0.7407,0.5,0.5,0.5,0.5,0.5,0.5
0.58625,0.5,0.597777765,0.597777765,0.760806,0.841549,0.680768,0.5,0.76,0.781855,0.691578947,0.7523,0.7416,0.5,0.5,0.5,0.5,0.5,0.5
0.587083333,0.5,0.598300353,0.598300353,0.760691,0.8414615,0.680747667,0.5,0.76,0.781852143,0.696842105,0.7539,0.7427,0.5,0.5,0.5,0.5,0.5,0.5
0.587916667,0.5,0.598693059,0.598693059,0.760685,0.841494,0.680771,0.5,0.76,0.781851714,0.701052632,0.7556,0.744,0.5,0.5,0.5,0.5,0.5,0.5
0.588333333,0.5,0.599623529,0.599623529,0.760667,0.8414035,0.680716667,0.5,0.76,0.781848286,0.705263158,0.7567,0.7447,0.5,0.5,0.5,0.5,0.5,0.5
0.58875,0.5,0.599997882,0.599997882,0.76062,0.8413195,0.680676,0.5,0.76,0.78185,0.708421053,0.7581,0.7458,0.5,0.5,0.5,0.5,0.5,0.5
0.589166667,0.5,0.600103647,0.600103647,0.760654,0.841367,0.680696667,0.5,0.755,0.776709429,0.711578947,0.7592,0.7466,0.5,0.5,0.5,0.5,0.5,0.5
0.589583333,0.5,0.599991882,0.599991882,0.760684,0.841329,0.680661333,0.5,0.755,0.776709143,0.716842105,0.7605,0.7474,0.5,0.5,0.5,0.5,0.5,0.5
0.59,0.5,0.600729294,0.600729294,0.760669,0.8413565,0.680684667,0.5,0.755,0.776710143,0.72,0.7621,0.7487,0.5,0.5,0.5,0.5,0.5,0.5
0.590416667,0.5,0.601323176,0.601323176,0.760671,0.841327,0.680664,0.5,0.755,0.776710429,0.723157895,0.7636,0.7499,0.5,0.5,0.5,0.5,0.5,0.5
0.590833333,0.5,0.601442941,0.601442941,0.76068,0.841335,0.680666667,0.5,0.755,0.776710143,0.725263158,0.7645,0.7506,0.5,0.5,0.5,0.5,0.5,0.5
0.590416667,0.5,0.602237176,0.602237176,0.760676,0.841422,0.680726,0.5,0.755,0.776713429,0.726315789,0.7662,0.7522,0.5,0.5,0.5,0.5,0.5,0.5
0.59125,0.5,0.601364235,0.601364235,0.760808,0.8415665,0.680778667,0.5,0.75,0.771575429,0.728421053,0.7671,0.7529,0.5,0.5,0.5,0.5,0.5,0.5
0.59125,0.5,0.601481765,0.601481765,0.760723,0.8415195,0.680775667,0.5,0.75,0.771567429,0.734736842,0.7693,0.7545,0.5,0.5,0.5,0.5,0.5,0.5
0.59125,0.5,0.602334824,0.602334824,0.760685,0.8414845,0.680764667,0.5,0.75,0.771561429,0.734736842,0.7693,0.7545,0.5,0.5,0.5,0.5,0.5,0.5
0.591666667,0.5,0.601986353,0.601986353,0.76062,0.8412805,0.680650333,0.5,0.75,0.771556571,0.735789474,0.7703,0.7554,0.5,0.5,0.5,0.5,0.5,0.5
0.591666667,0.5,0.602786824,0.602786824,0.760632,0.8412755,0.680643,0.5,0.75,0.771569286,0.736842105,0.7711,0.7561,0.5,0.5,0.5,0.5,0.5,0.5
