循环号,充电容量(Ah),放电容量(Ah),文件名
1,2.5167,3.4742,240081-2-7-53.xlsx
2,3.4865,3.4701,240081-2-7-53.xlsx
3,3.4744,3.457,240081-2-7-53.xlsx
4,3.4589,3.4458,240081-2-7-53.xlsx
5,3.4473,3.4354,240081-2-7-53.xlsx
6,3.4362,3.4262,240081-2-7-53.xlsx
7,3.4288,3.4187,240081-2-7-53.xlsx
8,3.4196,3.4141,240081-2-7-53.xlsx
9,3.4155,3.4072,240081-2-7-53.xlsx
10,3.4072,3.3994,240081-2-7-53.xlsx
11,3.3992,3.3921,240081-2-7-53.xlsx
12,3.3921,3.3858,240081-2-7-53.xlsx
13,3.3866,3.3814,240081-2-7-53.xlsx
14,3.3837,3.3798,240081-2-7-53.xlsx
15,3.3809,3.375,240081-2-7-53.xlsx
16,3.3735,3.3673,240081-2-7-53.xlsx
17,3.3668,3.3615,240081-2-7-53.xlsx
18,3.3605,3.3524,240081-2-7-53.xlsx
19,3.3523,3.3489,240081-2-7-53.xlsx
20,3.3502,3.3462,240081-2-7-53.xlsx
21,3.3471,3.3433,240081-2-7-53.xlsx
22,3.3419,3.3373,240081-2-7-53.xlsx
23,3.3357,3.3312,240081-2-7-53.xlsx
24,3.3307,3.3266,240081-2-7-53.xlsx
25,3.3253,3.3216,240081-2-7-53.xlsx
26,3.321,3.3175,240081-2-7-53.xlsx
27,3.3141,3.3109,240081-2-7-53.xlsx
28,3.3119,3.305,240081-2-7-53.xlsx
29,3.2978,3.2945,240081-2-7-53.xlsx
30,3.2939,3.2907,240081-2-7-53.xlsx
31,3.2904,3.2874,240081-2-7-53.xlsx
32,3.2869,3.284,240081-2-7-53.xlsx
33,3.2838,3.2809,240081-2-7-53.xlsx
34,3.2803,3.2771,240081-2-7-53.xlsx
35,3.2809,3.2803,240081-2-7-53.xlsx
36,3.2816,3.2788,240081-2-7-53.xlsx
37,3.2786,3.2759,240081-2-7-53.xlsx
38,3.2765,3.2747,240081-2-7-53.xlsx
39,3.2774,3.2758,240081-2-7-53.xlsx
40,3.2757,3.2729,240081-2-7-53.xlsx
41,3.2705,3.2676,240081-2-7-53.xlsx
42,3.2663,3.2636,240081-2-7-53.xlsx
43,3.2623,3.2596,240081-2-7-53.xlsx
44,3.2587,3.2558,240081-2-7-53.xlsx
45,3.2464,3.2405,240081-2-7-53.xlsx
46,3.2407,3.2409,240081-2-7-53.xlsx
47,3.25,3.2487,240081-2-7-53.xlsx
48,3.2479,3.2452,240081-2-7-53.xlsx
49,3.2439,3.2413,240081-2-7-53.xlsx
50,3.2405,3.2382,240081-2-7-53.xlsx
51,3.2407,3.2377,240081-2-7-53.xlsx
52,3.2272,3.2223,240081-2-7-53.xlsx
53,3.222,3.2189,240081-2-7-53.xlsx
54,3.2179,3.2152,240081-2-7-53.xlsx
55,3.2143,3.2117,240081-2-7-53.xlsx
56,3.2105,3.2099,240081-2-7-53.xlsx
57,3.2213,3.2225,240081-2-7-53.xlsx
58,3.2183,3.2143,240081-2-7-53.xlsx
59,3.2106,3.2068,240081-2-7-53.xlsx
60,3.2044,3.2012,240081-2-7-53.xlsx
61,3.198,3.1947,240081-2-7-53.xlsx
62,3.1965,3.1951,240081-2-7-53.xlsx
63,3.1963,3.1951,240081-2-7-53.xlsx
64,3.1957,3.1932,240081-2-7-53.xlsx
65,3.1895,3.1867,240081-2-7-53.xlsx
66,3.1852,3.1825,240081-2-7-53.xlsx
67,3.1808,3.1784,240081-2-7-53.xlsx
68,3.1805,3.1796,240081-2-7-53.xlsx
69,3.1852,3.1857,240081-2-7-53.xlsx
70,3.1863,3.1848,240081-2-7-53.xlsx
71,3.1655,3.1568,240081-2-7-53.xlsx
72,3.1537,3.1499,240081-2-7-53.xlsx
73,3.149,3.1459,240081-2-7-53.xlsx
74,3.1475,3.1453,240081-2-7-53.xlsx
75,3.1446,3.1423,240081-2-7-53.xlsx
76,3.141,3.1382,240081-2-7-53.xlsx
77,3.1356,3.1323,240081-2-7-53.xlsx
78,3.1311,3.1277,240081-2-7-53.xlsx
79,3.1285,3.1268,240081-2-7-53.xlsx
80,3.1275,3.125,240081-2-7-53.xlsx
81,3.1242,3.1218,240081-2-7-53.xlsx
82,3.1209,3.1176,240081-2-7-53.xlsx
83,3.1141,3.1109,240081-2-7-53.xlsx
84,3.1107,3.1074,240081-2-7-53.xlsx
85,3.1082,3.1063,240081-2-7-53.xlsx
86,3.108,3.1059,240081-2-7-53.xlsx
